copo,name,jurisdiction_type,county
0188,Adair County,county,
0288,Alfalfa County,county,
0388,Atoka County,county,
0488,Beaver County,county,
0588,Beckham County,county,
0688,Blaine County,county,
0788,Bryan County,county,
0888,Caddo County,county,
0988,Canadian County,county,
1088,Carter County,county,
1188,Cherokee County,county,
1288,Choctaw County,county,
1388,Cimarron County,county,
1488,Cleveland County,county,
1588,Coal County,county,
1688,Comanche County,county,
1788,Cotton County,county,
1888,Craig County,county,
1988,Creek County,county,
2088,Custer County,county,
2188,Delaware County,county,
2288,Dewey County,county,
2388,Ellis County,county,
2488,Garfield County,county,
2588,Garvin County,county,
2688,Grady County,county,
2788,Grant County,county,
2888,Greer County,county,
2988,Harmon County,county,
3088,Harper County,county,
3188,Haskell County,county,
3288,Hughes County,county,
3388,Jackson County,county,
3488,Jefferson County,county,
3588,Johnston County,county,
3688,Kay County,county,
3788,Kingfisher County,county,
3888,Kiowa County,county,
3988,Latimer County,county,
4088,Leflore County,county,
4188,Lincoln County,county,
4288,Logan County,county,
4388,Love County,county,
4488,Mcclain County,county,
4588,Mccurtain County,county,
4688,Mcintosh County,county,
4788,Major County,county,
4888,Marshall County,county,
4988,Mayes County,county,
5088,Murray County,county,
5188,Muskogee County,county,
5288,Noble County,county,
5388,Nowata County,county,
5488,Okfuskee County,county,
5588,Oklahoma County,county,
5688,Okmulgee County,county,
5788,Osage County,county,
5888,Ottawa County,county,
5988,Pawnee County,county,
6088,Payne County,county,
6188,Pittsburg County,county,
6288,Pontotoc County,county,
6388,Pottawatomie County,county,
6488,Pushmataha County,county,
6588,Roger Mills County,county,
6688,Rogers County,county,
6788,Seminole County,county,
6888,Sequoyah County,county,
6988,Stephens County,county,
7088,Texas County,county,
7188,Tillman County,county,
7288,Tulsa County,county,
7388,Wagoner County,county,
7488,Washington County,county,
7588,Washita County,county,
7688,Woods County,county,
7788,Woodward County,county,
0114,Stilwell,city,Adair
0115,Watts,city,Adair
0117,Westville,city,Adair
0203,Aline,city,Alfalfa
0205,Burlington,city,Alfalfa
0206,Byron,city,Alfalfa
0207,Carmen,city,Alfalfa
0208,Cherokee,city,Alfalfa
0213,Goltry,city,Alfalfa
0214,Helena,city,Alfalfa
0216,Jet,city,Alfalfa
0303,Atoka,city,Atoka
0307,Caney,city,Atoka
0317,Stringtown,city,Atoka
0318,Tushka,city,Atoka
0404,Beaver,city,Beaver
0409,Forgan,city,Beaver
0413,Gate,city,Beaver
0415,Knowles,city,Beaver
0503,Carter,city,Beckham
0511,Elk City,city,Beckham
0513,Erick,city,Beckham
0516,Sayre,city,Beckham
0517,Texola,city,Beckham
0518,Sweetwater,city,Beckham
0603,Canton,city,Blaine
0627,Hydro,city,Blaine
0630,Geary,city,Blaine
0633,Greenfield,city,Blaine
0634,Hitchcock,city,Blaine
0636,Longdale,city,Blaine
0637,Okeene,city,Blaine
0639,Watonga,city,Blaine
0703,Achille,city,Bryan
0706,Bennington,city,Bryan
0708,Bokchito,city,Bryan
0709,Caddo,city,Bryan
0713,Calera,city,Bryan
0715,Colbert,city,Bryan
0721,Durant,city,Bryan
0727,Kenefic,city,Bryan
0728,Mead,city,Bryan
0811,Anadarko,city,Caddo
0813,Apache,city,Caddo
0814,Binger,city,Caddo
0815,Bridgeport,city,Caddo
0816,Carnegie,city,Caddo
0817,Cement,city,Caddo
0819,Cyril,city,Caddo
0823,Eakly,city,Caddo
0824,Fort Cobb,city,Caddo
0825,Gracemont,city,Caddo
0826,Hinton,city,Caddo
0827,Hydro,city,Caddo
0828,Lookeba,city,Caddo
0904,Calumet,city,Canadian
0911,El Reno,city,Canadian
0921,Oklahoma City,city,Canadian
0930,Geary,city,Canadian
0933,Mustang,city,Canadian
0950,Okarche,city,Canadian
0953,Piedmont,city,Canadian
0954,Union City,city,Canadian
0955,Yukon,city,Canadian
1001,Ardmore,city,Carter
1003,Gene Autry,city,Carter
1008,Dickson,city,Carter
1014,Healdton,city,Carter
1015,Lone Grove,city,Carter
1023,Ratliff City,city,Carter
1024,Springer,city,Carter
1025,Tatums,city,Carter
1027,Wilson,city,Carter
1107,Fort Gibson,city,Cherokee
1108,Hulbert,city,Cherokee
1118,Oaks,city,Cherokee
1119,Tahlequah,city,Cherokee
1203,Boswell,city,Choctaw
1205,Fort Towson,city,Choctaw
1211,Hugo,city,Choctaw
1216,Sawyer,city,Choctaw
1217,Soper,city,Choctaw
1303,Boise City,city,Cimarron
1307,Keyes,city,Cimarron
1403,Lexington,city,Cleveland
1404,Moore,city,Cleveland
1405,Noble,city,Cleveland
1406,Slaughterville,city,Cleveland
1407,Purcell,city,Cleveland
1411,Norman,city,Cleveland
1421,Oklahoma City,city,Cleveland
1526,Coalgate,city,Coal
1527,Lehigh,city,Coal
1533,Tupelo,city,Coal
1603,Cache,city,Comanche
1605,Chattanooga,city,Comanche
1606,Elgin,city,Comanche
1607,Faxon,city,Comanche
1608,Fletcher,city,Comanche
1609,Geronimo,city,Comanche
1613,Indiahoma,city,Comanche
1621,Lawton,city,Comanche
1623,Medicine Park,city,Comanche
1625,Sterling,city,Comanche
1705,Temple,city,Cotton
1706,Walters,city,Cotton
1804,Big Cabin,city,Craig
1805,Bluejacket,city,Craig
1809,Ketchum,city,Craig
